name,Latitude,Longitude
A One Hospital,28.67882,77.0981158
Aakash Healthcare Super Speciality Hospital,28.6054061,77.0535572
Aakash Hospital,28.5350359,77.2148651
Aakash Hospital,28.6053767,77.0536459
Aarogya Hospital,28.6413801,77.2863392
Aashirwad Nursing Home,28.6379887,77.0520031
Aashlok Hospital,28.566466,77.198976
Aastha Hospital,28.7327628,77.1416494
Aayana Clinic,28.55088783,77.2003883
Acharya Shree Bhikshu Hospital,28.66225344,77.14033973
Adarsh Hospital,28.535139,77.2223229
Adiva Hospital,28.5583994,77.2064208
Aggarwal Dharmarth Hospital,28.6812368,77.1976619
Aggarwal Nursing Home,28.6766024,77.1804445
AIIMS Urban Health Centre,28.5221871,77.242704
Airmid Hospital,28.7449013,77.144869
Airport Health Organization,28.5445057,77.115956
al-shifa,28.5570345,77.2929977
Alshifa Multispeciality Hospital,28.5570997,77.2929324
Aman Medical Centre,28.5216502,77.1812935
Ambedkar Nagar Hospital,28.5223965,77.2383804
Amit Nursing Home,28.6340005,77.1095894
Anand Maya Multi Speciality Hospital,28.7299137,77.1600821
Anandam Psychiatry Center,28.66379952,77.14166501
Angel Agastya Multi Speciality Hospital,28.5870577,77.0857082
Apaar Nursing Home,28.614442,77.071139
Apex Citi Hospital,28.6265513,77.3019477
Apex Hospital,28.5001805,77.1843915
Apollo,28.5403869,77.2829628
Apollo Cradle Maternity & Children's Hospital,28.6617972,77.1503029
Apollo Fertility,28.5964346,77.0400311
Apollo Spectra Hospitals,28.5555937,77.2412436
Apollo Spectra Hospitals,28.6583838,77.1936638
Ardent Ganpati Hospital,28.6819483,77.0387679
Ardent Hospital,28.5869919,77.0859526
Ariston Multispeciality Hospital,28.5379869,77.2482605
Arogya Care,28.6958743,77.0588261
Arora Nursing Home,28.7141757,77.1528872
Arpan Hospital,28.5104176,77.2374101
Aruna Asaf Ali Government Hospital,28.6697661,77.2178501
Arya Hospital,28.6172035,77.0794442
Aryan Hospital,28.7999135,77.0364781
Asha Hospital,28.6365818,77.0516082
Asha kiran mental hospital,28.7028126,77.0958863
Asi Hospital,28.6561778,77.1334074
Asian Samra Multi Speciality Hospital,28.701808,77.278726
Attar Sain Jain Hospital,28.6821792,77.1502237
Avantika Multispeciality Hospital,28.6979066,77.1085167
Ayurvedic Mental Hospital,28.7237864,77.1497987
Ayushman Hospital,28.5965201,77.0493833
Ayushman Hospital,28.5881804,77.0596665
B K Memorial Hospital,28.67123504,77.11259333
B.M. Gupta Hospital Pvt. Ltd.,28.6195378,77.0613682
Babu Jagjivan Ram Memorial Hospital,28.73456431,77.17277163
Bagga Nursing Home,28.660249,77.090997
