name,Latitude,Longitude,crime_weight
Bawana Police station,28.8055119,77.0256424,1.0
Shalimar Bagh Police Station,28.7170924,77.1571367,1.0
Vikas Puri,28.6301441,77.0682683,1.0
Ashok Vihar Police Station,28.6925224,77.1739049,1.0
Najafgarh Police Thana,28.6098145,76.9828316,1.0
Police Chowki,28.6126106,76.9867433,1.0
Jaffar Pur Police Station,28.5958543,76.9151778,1.0
Police Station Malviya Nagar,28.5306718,77.2045562,1.0
Hari Nagar Police Station,28.6097133,77.0997911,1.0
Prasad Nagar Police Station,28.6478735,77.180705,1.0
Dwarka Police Station,28.5649687,77.0584523,1.0
Police Booth,28.6702484,77.1336893,1.0
Punjabi Bagh Police Station,28.6741463,77.1322843,1.0
Rajendra Nagar Police Station,28.634698,77.1826937,1.0
Police Residential Complex,28.6349617,77.1837505,1.0
New Ashok Nagar Police Station,28.5983359,77.3112386,1.0
Baba Haridas Nagar Police Station,28.6289362,76.9666822,1.0
Subroto Park Police Station,28.5942138,77.1651188,1.0
Lahori Gate Police Station,28.6558358,77.2190161,1.0
Kotwali Police Station,28.6585978,77.2310844,1.0
Jama Masjid Police Station,28.6524641,77.2337052,1.0
Cycle Market Police Post,28.6559206,77.2347384,1.0
Police Station,28.5246843,77.2543284,1.0
police station,28.5820097,77.195299,1.0
Police Post Sanjay Colony,28.4300428,77.2261104,1.0
Assistant Commisioner of Police,28.6891306,77.2217498,1.0
Police Station Hazrat Nizamudin Railway station,28.5879796,77.2536138,1.0
Police Station Karol Bagh,28.652398,77.1930248,1.0
Police Station New Delhi Railway Station,28.6437003,77.2189266,1.0
Police Post,28.635912,77.2222854,1.0
Police Post Majnu ka Tila,28.6965167,77.2270376,1.0
Police Station Pul Prahladpur,28.5019105,77.2907092,1.0
Police Station Khyala,28.6517663,77.0963462,1.0
Durga Puri Police Station,28.6894132,77.2915327,1.0
Police Post PSRI Hospital,28.5318943,77.2252646,1.0
Police Chowki,28.6862014,77.2920281,1.0
Police Station Dabri,28.6131514,77.0860753,1.0
Police Station Old Delhi Railway Station,28.6603874,77.2293263,1.0
Police Station Badarpur,28.4937527,77.3037682,1.0
Kirti Nagar Police Station,28.6402677,77.135379,1.0
Vivek Vihar,28.667016,77.3062943,1.0
Bharat Nagar Police station,28.6807121,77.178135,1.0
Women Facilitation Booth,28.7283053,77.1699161,1.0
"Police Post, Khan Market",28.6003274,77.2262488,1.0
