Latitude,Longitude
28.6223887,77.290103
28.5315827,77.2186349
28.5205662,77.2031747
28.5181285,77.2153936
28.5200665,77.2056411
28.5210438,77.2058877
28.5087849,77.1980702
28.6041558,77.2902689
28.6028489,77.2904813
28.6182744,77.2938059
28.618134,77.2937279
28.6182413,77.293631
28.618148,77.2937997
28.6152363,77.2910154
28.6154787,77.2910061
28.6147782,77.2923841
28.6149673,77.2919866
28.6146683,77.2925916
28.6145312,77.2927825
28.6214482,77.1374704
28.5467526,77.1851189
28.6565743,77.2274522
28.5426459,77.2983063
28.5850933,77.2414807
28.5846025,77.2411475
28.5843855,77.2410295
28.6306344,77.27689
28.6311169,77.2765385
28.6307591,77.2755376
28.6308339,77.2757751
28.6306253,77.2749843
28.5833462,77.2401636
28.5854141,77.2417293
28.5838487,77.2411269
28.5842152,77.2411247
28.5840185,77.240891
28.5837933,77.2409014
28.6290382,77.2745452
28.6292598,77.2752887
28.6290562,77.274847
28.6287645,77.2742542
28.5843417,77.2435257
28.5841242,77.2435136
28.584355,77.243292
28.5835113,77.2458562
28.5823372,77.2434151
28.5823772,77.2433037
28.5840884,77.2435837
28.583915,77.2437242
28.582371,77.242689
28.5823549,77.2420225
28.5828697,77.2416553
28.5830193,77.240121
28.5826235,77.2444048
28.5823708,77.2430758
28.5823656,77.2423227
28.5828391,77.2447696
28.5823861,77.2439423
28.5823442,77.2439294
28.5825144,77.2441481
28.582853,77.2447182
28.5823833,77.2436312
28.5830619,77.2417057
28.5826721,77.2417081
28.582353,77.2417007
28.583367,77.2413428
28.5837979,77.2407614
28.5831206,77.2404292
28.5831111,77.2403276
28.5833054,77.2402782
28.5834097,77.2396326
28.6307263,77.2775285
28.6300645,77.2755005
28.6296773,77.2759721
28.6297512,77.274933
28.6356314,77.279151
28.6360605,77.2791467
28.6344158,77.2764409
28.5538147,77.2354772
28.5532661,77.2360455
28.553815,77.2354752
28.551764,77.2375626
28.5513631,77.2374971
28.5520198,77.2375181
28.5518853,77.2375438
28.5511031,77.2373774
28.5514133,77.2375216
28.5509848,77.2373104
28.5516132,77.2375741
28.5505383,77.2370969
28.5502051,77.2369557
28.5496984,77.2366807
28.5499127,77.2368308
28.5597944,77.2055937
28.5598208,77.2054693
28.5598381,77.2053572
28.5598687,77.20524
28.5598887,77.2051333
28.5599144,77.2050298
28.5600508,77.1937415
28.5595947,77.2065581
28.5840855,77.2404716
28.5809258,77.2481883
28.6314294,77.2719144
28.6322374,77.2719774
28.6300234,77.2732137
28.6564625,77.2321738
28.6563131,77.2321097
28.6564977,77.2323044
28.6307197,77.272797
28.6305668,77.2728695
28.5902508,77.2259353
28.590786,77.2279136
28.5902017,77.2259464
28.5715959,77.2413299
28.5711206,77.2424991
28.5704876,77.2400763
28.6933259,77.1553731
28.5893391,77.2254756
28.5892862,77.2254393
28.5893556,77.2256151
28.5688129,77.2436669
28.5699433,77.2397887
28.5713586,77.2404548
28.5685201,77.2498666
28.5687985,77.243793
28.5693862,77.2487292
28.570936,77.2403286
28.5697087,77.2395805
28.5701554,77.2399039
28.5722879,77.2410321
28.571195,77.2403714
28.5683801,77.2464171
28.5709711,77.2402506
28.5694875,77.2487816
28.570893,77.2403111
28.5709249,77.240223
28.5700626,77.2397863
28.5715259,77.2405546
28.5696949,77.2488182
28.5698513,77.2396753
28.5718593,77.2407243
28.5695867,77.2488032
28.5697323,77.2396801
28.5702285,77.2399597
28.5721242,77.2409521
28.5691905,77.2490743
28.5710409,77.2402909
28.5687835,77.2496212
28.5682819,77.2463088
28.5689901,77.2493351
28.5687614,77.2437753
28.5715862,77.2406767
28.5697878,77.2490874
28.5688685,77.2436453
28.5703744,77.2400394
28.5718131,77.2406967
28.5868498,77.1665907
28.5870946,77.1669055
28.5874687,77.1678277
28.5872779,77.1677857
28.5874458,77.1679053
28.5857049,77.1669825
28.5870341,77.1682195
28.5861508,77.166582
28.58672,77.1683894
28.5868821,77.1682339
28.5867317,77.1677963
28.5868887,77.1670566
28.5870135,77.1675491
28.5863061,77.1672083
28.5866601,77.1679769
28.5860169,77.1676665
28.5871152,77.1678637
28.5858878,77.1674475
28.5869134,77.1679281
28.5858004,77.1671986
28.5870781,77.1671644
28.5865195,77.1667417
28.5862497,77.1671556
28.5864378,77.1679244
28.5870821,77.1666518
28.5864115,77.1665428
28.5864164,77.1678561
28.5860717,77.1676665
28.5858319,77.166661
28.5873599,77.167966
28.5861872,77.1678214
28.5861016,77.1669944
28.5871899,77.1680973
28.5872314,77.1673979
28.5858382,77.1673495
28.6218193,77.2937256
28.5517957,77.2523332
28.5523136,77.2521941
28.5524093,77.2510388
28.5522227,77.2507993
28.552732,77.2521408
28.5518349,77.2492709
28.5518127,77.2498492
28.551558,77.2523993
28.5518518,77.2489469
28.5718655,77.2392668
28.5705902,77.2408481
28.5700589,77.2406437
28.6218781,77.290068
28.6222825,77.2898435
28.6216938,77.2901939
28.6221684,77.2903444
28.6222593,77.2901543
28.6220921,77.2899198
28.6221082,77.2901989
28.6215849,77.2902622
28.6217934,77.2901302
28.6221966,77.2898564
28.6219851,77.289996
28.6218927,77.2905177
28.6223243,77.2899312
28.6214826,77.2903311
28.6222897,77.2900086
28.5874504,77.1689695
28.5867938,77.1700152
28.6227348,77.290908
28.6229368,77.2907415
28.5841408,77.2406254
28.5693834,77.2389229
28.569423,77.238951
28.5529691,77.2521562
28.5530007,77.2522985
28.686925,77.2058424
28.6685882,77.3084011
28.669661,77.3074459
28.6696109,77.3073786
28.6693162,77.3122192
28.6663506,77.3121008
28.6666426,77.3122158
28.5397428,77.248829
28.5398491,77.2488929
28.6466772,77.2052414
28.6465371,77.2054405
28.646702,77.2054164
28.6460795,77.2047404
28.6465213,77.2052664
28.6455846,77.2023137
28.6455337,77.2018862
28.6197435,77.2899356
28.6196618,77.2897471
28.6191562,77.2884146
28.6194581,77.2892036
28.6190687,77.2881923
28.6190289,77.2880906
28.619246,77.2886432
28.6191097,77.2882963
28.6197952,77.2900218
28.6191958,77.2885163
28.6207831,77.2923993
28.6205877,77.2918914
28.6205305,77.2917284
28.6206209,77.2919992
28.6206576,77.2921169
28.6458972,77.1913715
28.6459006,77.1918123
28.6317253,77.2867698
28.6315834,77.2866132
28.6370325,77.2855543
28.6369094,77.2855887
28.636781,77.285648
28.6366236,77.2857493
28.6365765,77.2858494
28.6366188,77.2860224
28.6372078,77.2874595
28.636984,77.2870237
28.6370935,77.287246
28.6370658,77.2871805
28.6370295,77.2871189
28.6371356,77.2873298
28.637178,77.2874062
28.6369549,77.2869663
28.6369265,77.2869004
28.6369004,77.2868487
28.6368644,77.286794
28.6368479,77.2863794
28.6368152,77.2863212
28.5251505,77.2081807
28.5248213,77.2071301
28.5247203,77.2076498
28.618151,77.2943246
28.6178494,77.2931706
28.6952895,77.2137866
28.6950116,77.2145571
28.6951592,77.2141537
28.694879,77.2149208
28.6181953,77.2934417
28.6463165,77.1914273
28.6462719,77.1913649
28.6473969,77.1921126
28.6476206,77.1922971
28.6453101,77.1914914
28.6454576,77.1912888
28.6455165,77.1911881
28.6460837,77.191805
28.6472587,77.1920034
28.647115,77.1918884
28.6468612,77.1916855
28.6455911,77.1917257
28.6204574,77.2985137
28.6203071,77.2989184
28.6202008,77.2975306
28.6203026,77.2978795
28.6202097,77.2991018
28.6202808,77.2993888
28.620573,77.2996256
28.6200433,77.2983728
28.6204954,77.2987691
28.6202608,77.2977797
28.6205891,77.2994829
28.6198842,77.2978281
28.6204302,77.2998361
28.620358,77.2996406
28.6204086,77.2983046
28.6199622,77.2981284
28.6205892,77.2992508
28.6205639,77.2989915
28.6201122,77.2978421
28.620091,77.2986304
28.6162397,77.2906179
28.6180248,77.2927373
28.6154818,77.290719
28.615367,77.2907626
28.6184619,77.2943396
28.6167345,77.2906083
28.6194767,77.2959175
28.6187493,77.2949168
28.6164579,77.2905321
28.6156093,77.2906117
28.6181108,77.2931412
28.6197656,77.2974119
28.6188734,77.2958345
28.6147683,77.2910552
28.6196644,77.2963894
28.6197053,77.2971625
28.6196753,77.2969185
28.6179658,77.2921971
28.6186525,77.2951378
28.6185711,77.2945045
28.6149913,77.2910181
28.6192786,77.2957331
28.6176569,77.291159
28.6191468,77.2957585
28.6197712,77.2967215
28.6192744,77.2958761
28.6183471,77.2941143
28.6179506,77.2924861
28.6179502,77.2917593
28.6187656,77.2956292
28.6198418,77.2976551
28.6175566,77.2907878
28.6180724,77.2929779
28.6188168,77.2946794
28.6175898,77.2910505
28.6185553,77.2945941
28.6169594,77.2905747
28.6180994,77.291817
28.6174312,77.2905633
28.6196251,77.29751
28.6159916,77.2906054
28.6196572,77.2966466
28.6187029,77.2953627
28.6180137,77.2916122
28.6180597,77.2920316
28.6179188,77.2913961
28.6196034,77.2961371
28.5483191,77.2334575
28.5491665,77.2345972
28.5485516,77.2331131
28.549074,77.2347808
28.5479623,77.234159
28.548121,77.2337727
28.5489578,77.2341673
28.5492738,77.2344017
28.6190766,77.2948958
28.6195222,77.2957837
28.6201154,77.2973151
28.6184843,77.295836
28.6171707,77.2920118
28.6176807,77.2953252
28.6308383,77.3049448
28.619431,77.2955444
28.6310829,77.3049417
28.6177693,77.2918301
28.6188477,77.2940127
28.6185323,77.2957423
28.6310485,77.304844
28.6169854,77.2920589
28.6177221,77.2953048
28.6168287,77.2919607
28.6200237,77.2970786
28.6185455,77.295907
28.6307599,77.304862
28.6189162,77.294416
28.6183116,77.2958929
28.6312848,77.3050351
28.6168629,77.2917582
28.6170707,77.2914949
28.6193009,77.2953551
28.6167146,77.2921467
28.6191483,77.295118
28.6197012,77.2962351
28.6311549,77.305052
28.6173886,77.2919461
28.6186935,77.2963879
28.6196277,77.296021
28.6175632,77.2919435
28.61504,77.2952361
28.619008,77.2946898
28.6187013,77.296688
28.618862,77.2941735
28.6307266,77.3047614
28.6308115,77.3050181
28.6147872,77.2982568
28.5666723,77.2464346
28.5693458,77.2487496
28.5678708,77.2472128
28.568091,77.2473243
28.5680297,77.2470571
28.5694789,77.2490101
28.5689262,77.2475509
28.5692302,77.2477912
28.5667998,77.2466337
28.5674703,77.2470803
28.5673835,77.2469623
28.5675067,77.2469026
28.5671905,77.2467279
28.5669805,77.2466057
28.5692463,77.2477024
28.5681068,77.2458254
28.5683563,77.2456033
28.5684744,77.2445956
28.5691553,77.2436557
28.5681905,77.2462837
28.5678004,77.246912
28.567972,77.2461356
28.568436,77.2454095
28.5688924,77.2443253
28.568999,77.2440556
28.5684985,77.244867
28.5687324,77.2447231
28.5682787,77.2453953
28.5686566,77.2445148
28.5683599,77.2451909
28.5688238,77.2441005
28.5693222,77.2432557
28.5689765,77.2437037
28.6913961,77.1965372
28.5850011,77.242519
28.619647,77.0255548
28.61957,77.0257834
28.619487,77.0260481
28.6197225,77.0252975
28.6198093,77.0250405
28.6198902,77.0247816
28.6199766,77.024537
28.6200742,77.0241972
28.6201902,77.0237988
28.6202689,77.0234879
28.564708,77.0464557
28.5650409,77.0464749
28.5658001,77.0464748
28.5660524,77.046375
28.5664729,77.0461941
28.6014715,77.324951
28.6976211,77.2054208
28.5916739,77.0422337
28.5923936,77.0428351
28.7064374,77.1251489
28.7066308,77.1253675
28.6494863,77.2265513
28.6498654,77.2260677
28.649416,77.2266283
28.6493638,77.226387
28.6490651,77.2262879
28.65045,77.2255384
28.6562661,77.2232594
28.6561893,77.2227131
28.6234797,77.2906257
28.591682,77.0418141
28.5644981,77.188102
28.6225111,77.2898889
28.7217536,77.1334779
28.7195802,77.1367936
28.7193601,77.137135
28.720125,77.1360189
28.7199824,77.1362183
28.7197058,77.1366293
28.7199208,77.1363157
28.7194609,77.136983
28.690329,77.214224
28.6916848,77.2142875
28.6902924,77.2153263
28.6916036,77.2154076
28.6566659,77.2251048
28.7381373,77.0371108
28.6566328,77.2253458
28.6565011,77.2253408
28.6844679,77.1677144
28.684531,77.1679217
28.6844082,77.1677186
28.6845325,77.167707
28.6844031,77.1679247
28.6844705,77.1679232
28.6846368,77.1678022
28.6941818,77.2091737
28.694525,77.2082123
28.6953039,77.209748
28.6956748,77.2087228
28.5376953,77.2750612
28.6844833,77.2028672
